 Syracuse University
UTC, N1 [cph], N2 [cph], P1 [mb], Batt [V], H7 [%], P4 [mb], T7 [C], NMcounts, fbar, fhum, fsol, CR VWC, B/M,
2021-06-01 18:04:00, 24, 14, 0.0, 14.1, 157.0, 876.2, -99.0, 165.490, 1.049, 1.000, 0.961, -0.527, 0.5833, 2021-06-01 12:04:00
2021-06-01 17:33:00, 4924, 2729, 0.0, 13.1, 157.0, 876.4, -99.0, 165.490, 1.051, 1.000, 0.961, 0.114, 0.5542, 2021-06-01 11:33:00
2021-06-01 16:33:00, 4808, 2573, 0.0, 14.1, 157.0, 876.5, -99.0, 165.490, 1.051, 1.000, 0.961, 0.131, 0.5351, 2021-06-01 10:33:00
2021-06-01 15:33:00, 4753, 2559, 0.0, 14.2, 157.0, 876.6, -99.0, 165.490, 1.052, 1.000, 0.961, 0.140, 0.5384, 2021-06-01 09:33:00
2021-06-01 14:33:00, 4778, 2595, 0.0, 14.3, 157.0, 876.8, -99.0, 165.490, 1.054, 1.000, 0.961, 0.134, 0.5431, 2021-06-01 08:33:00
2021-06-01 13:33:00, 4854, 2587, 0.0, 13.5, 157.0, 876.8, -99.0, 165.490, 1.054, 1.000, 0.961, 0.122, 0.5330, 2021-06-01 07:33:00
2021-06-01 12:33:00, 4836, 2644, 0.0, 12.9, 157.0, 876.8, -99.0, 165.490, 1.054, 1.000, 0.961, 0.125, 0.5467, 2021-06-01 06:33:00
2021-06-01 11:33:00, 4797, 2524, 0.0, 12.6, 157.0, 876.6, -99.0, 165.490, 1.052, 1.000, 0.961, 0.133, 0.5262, 2021-06-01 05:33:00
2021-06-01 10:33:00, 4833, 2541, 0.0, 12.7, 157.0, 876.6, -99.0, 165.490, 1.052, 1.000, 0.961, 0.127, 0.5258, 2021-06-01 04:33:00
2021-06-01 09:33:00, 4793, 2561, 0.0, 12.7, 157.0, 876.5, -99.0, 165.490, 1.051, 1.000, 0.961, 0.134, 0.5343, 2021-06-01 03:33:00
2021-06-01 08:33:00, 4722, 2583, 0.0, 12.7, 157.0, 876.5, -99.0, 165.490, 1.051, 1.000, 0.961, 0.146, 0.5470, 2021-06-01 02:33:00
2021-06-01 07:33:00, 4803, 2588, 0.0, 12.7, 157.0, 876.7, -99.0, 165.490, 1.053, 1.000, 0.961, 0.131, 0.5388, 2021-06-01 01:33:00
2021-06-01 06:33:00, 4886, 2626, 0.0, 12.8, 157.0, 876.8, -99.0, 165.490, 1.054, 1.000, 0.961, 0.118, 0.5375, 2021-06-01 00:33:00
2021-06-01 05:33:00, 4755, 2627, 0.0, 12.8, 157.0, 876.9, -99.0, 165.490, 1.055, 1.000, 0.961, 0.137, 0.5525, 2021-05-31 23:33:00
2021-06-01 04:33:00, 4755, 2637, 0.0, 12.8, 157.0, 876.6, -99.0, 165.490, 1.052, 1.000, 0.961, 0.139, 0.5546, 2021-05-31 22:33:00
2021-06-01 03:33:00, 4819, 2630, 0.0, 12.9, 157.0, 876.3, -99.0, 165.490, 1.050, 1.000, 0.961, 0.130, 0.5458, 2021-05-31 21:33:00
2021-06-01 02:33:00, 4768, 2607, 0.0, 13.0, 157.0, 875.8, -99.0, 165.490, 1.046, 1.000, 0.961, 0.142, 0.5468, 2021-05-31 20:33:00
2021-06-01 01:33:00, 4785, 2616, 0.0, 13.7, 157.0, 875.5, -99.0, 165.490, 1.043, 1.000, 0.961, 0.141, 0.5467, 2021-05-31 19:33:00
2021-06-01 00:33:00, 4915, 2589, 0.0, 13.7, 157.0, 875.2, -99.0, 165.490, 1.041, 1.000, 0.961, 0.122, 0.5268, 2021-05-31 18:33:00
2021-05-31 23:33:00, 4894, 2637, 0.0, 13.7, 157.0, 875.1, -99.0, 165.490, 1.040, 1.000, 0.961, 0.126, 0.5388, 2021-05-31 17:33:00
2021-05-31 22:33:00, 4819, 2672, 0.0, 13.7, 157.0, 874.7, -99.0, 165.490, 1.037, 1.000, 0.961, 0.140, 0.5545, 2021-05-31 16:33:00
2021-05-31 21:33:00, 5036, 2583, 0.0, 13.6, 157.0, 874.8, -99.0, 165.368, 1.038, 1.000, 0.961, 0.107, 0.5129, 2021-05-31 15:33:00
2021-05-31 20:33:00, 4920, 2675, 0.0, 13.7, 157.0, 874.6, -99.0, 165.065, 1.036, 1.000, 0.963, 0.124, 0.5437, 2021-05-31 14:33:00
2021-05-31 19:33:00, 4870, 2655, 0.0, 13.7, 157.0, 874.8, -99.0, 165.558, 1.038, 1.000, 0.960, 0.132, 0.5452, 2021-05-31 13:33:00
2021-05-31 18:33:00, 4948, 2597, 0.0, 13.7, 157.0, 874.9, -99.0, 165.271, 1.038, 1.000, 0.962, 0.119, 0.5249, 2021-05-31 12:33:00
2021-05-31 17:33:00, 4886, 2592, 0.0, 13.8, 157.0, 874.7, -99.0, 164.310, 1.037, 1.000, 0.968, 0.124, 0.5305, 2021-05-31 11:33:00
2021-05-31 16:33:00, 4841, 2732, 0.0, 14.2, 157.0, 875.2, -99.0, 164.774, 1.041, 1.000, 0.965, 0.130, 0.5643, 2021-05-31 10:33:00
2021-05-31 15:33:00, 4763, 2622, 0.0, 14.2, 157.0, 875.2, -99.0, 165.190, 1.041, 1.000, 0.962, 0.145, 0.5505, 2021-05-31 09:33:00
2021-05-31 14:33:00, 4875, 2598, 0.0, 14.4, 157.0, 875.3, -99.0, 165.387, 1.042, 1.000, 0.961, 0.128, 0.5329, 2021-05-31 08:33:00
