"GWC","Bulk_Density","Location","Depth_cm","Moisture_pct","porosity"
0.24,0.85,"N1","0-5",19.6,0.673076923076923
0.24,1.05,"N1","5-10",19.2,0.596153846153846
0.21,1.09,"N1","10-15",17.4,0.580769230769231
0.19,1.04,"N1","15-20",15.7,0.6
0.23,1.15,"N1","20-25",18.6,0.557692307692308
0.23,1.08,"N1","25-30",19,0.584615384615385
0.13,1.65,"N2","0-5",11.7,0.365384615384615
0.12,1.55,"N2","5-10",10.5,0.403846153846154
0.13,1.53,"N2","15-20",11.8,0.411538461538462
0.18,1.01,"N3","5-10",15.2,0.611538461538462
0.17,1.21,"N3","10-15",14.5,0.534615384615385
0.15,0.93,"N3","15-20",13.3,0.642307692307692
0.22,1.18,"NE1","5-10",17.9,0.546153846153846
0.22,1.16,"NE1","10-15",18.2,0.553846153846154
0.23,1.01,"NE1","20-25",19,0.611538461538462
0.17,0.96,"NE2","0-5",14.5,0.630769230769231
0.2,1.16,"NE2","5-10",16.7,0.553846153846154
0.22,1.25,"NE2","10-15",18.3,0.519230769230769
0.2,1.09,"NE2","15-20",16.3,0.580769230769231
0.2,1.25,"NE2","20-25",16.8,0.519230769230769
0.22,1.1,"NE2","25-30",18.2,0.576923076923077
0.05,1.19,"NE3","0-5",4.6,0.542307692307692
0.15,1.76,"NE3","5-10",12.9,0.323076923076923
0.14,1.73,"NE3","10-15",12.5,0.334615384615385
0.11,1.18,"NE3","15-20",10.3,0.546153846153846
0.15,1.57,"NE3","20-25",13.1,0.396153846153846
0.05,1.01,"NW1","0-5",5.1,0.611538461538462
0.14,1.02,"NW1","5-10",12.6,0.607692307692308
0.18,1.1,"NW1","10-15",14.9,0.576923076923077
0.14,1.1,"NW1","15-20",12.2,0.576923076923077
0.11,1.24,"NW1","20-25",10,0.523076923076923
0.18,0.87,"NW1","25-30",15.1,0.665384615384615
0.13,1.15,"NW2","5-10",11.8,0.557692307692308
0.21,1.08,"NW2","10-15",17.4,0.584615384615385
0.09,1.37,"NW2","15-20",8.6,0.473076923076923
0.14,1,"NW2","20-25",12,0.615384615384615
0.09,1.12,"NW2","25-30",8.1,0.569230769230769
0.1,1.31,"NW3","5-10",9.3,0.496153846153846
0.21,1.33,"NW3","10-15",17.2,0.488461538461539
0.11,1.19,"NW3","15-20",10,0.542307692307692
0.21,0.95,"NW3","20-25",17.4,0.634615384615385
0.14,1.26,"NW3","25-30",12.1,0.515384615384615
0.19,1.06,"S1","10-15",16.1,0.592307692307692
0.07,1.25,"S1","15-20",6.7,0.519230769230769
0.14,1.15,"S2","5-10",12.6,0.557692307692308
0.06,1.22,"S2","10-15",5.6,0.530769230769231
0.2,1.13,"S2","20-25",16.4,0.565384615384615
0.08,1.19,"S2","25-30",7.5,0.542307692307692
0.15,0.88,"S3","0-5",13.2,0.661538461538462
0.08,1.18,"S3","5-10",7.1,0.546153846153846
0.21,0.88,"S3","10-15",17.1,0.661538461538462
0.19,1.05,"S3","15-20",16.3,0.596153846153846
0.19,0.85,"S3","20-25",15.7,0.673076923076923
0.17,1.16,"S3","25-30",14.3,0.553846153846154
0.2,1.08,"SE1","5-10",16.9,0.584615384615385
0.2,0.99,"SE1","10-15",16.7,0.619230769230769
0.23,0.9,"SE1","15-20",18.6,0.653846153846154
0.28,1.17,"SE1","20-25",21.6,0.55
0.26,0.96,"SE1","25-30",20.6,0.630769230769231
0.19,0.9,"SE2","0-5",15.7,0.653846153846154
0.2,1.12,"SE2","5-10",16.5,0.569230769230769
0.19,0.92,"SE2","15-20",16.1,0.646153846153846
0.21,1.26,"SE2","20-25",17.3,0.515384615384615
