"GWC","Bulk_Density","Location","Depth_cm","Longitude","Latitude"
0.24,0.85,"N1","0-5",-109.95556134,47.05961287
0.24,1.05,"N1","5-10",-109.95556134,47.05961287
0.21,1.09,"N1","10-15",-109.95556134,47.05961287
0.19,1.04,"N1","15-20",-109.95556134,47.05961287
0.23,1.15,"N1","20-25",-109.95556134,47.05961287
0.23,1.08,"N1","25-30",-109.95556134,47.05961287
0.13,1.65,"N2","0-5",-109.95556415,47.06005751
0.12,1.55,"N2","5-10",-109.95556415,47.06005751
0.13,1.53,"N2","15-20",-109.95556415,47.06005751
0.18,1.01,"N3","5-10",-109.95557861,47.06118633
0.17,1.21,"N3","10-15",-109.95557861,47.06118633
0.15,0.93,"N3","15-20",-109.95557861,47.06118633
0.22,1.18,"NE1","5-10",-109.95526008,47.05950121
0.22,1.16,"NE1","10-15",-109.95526008,47.05950121
0.23,1.01,"NE1","20-25",-109.95526008,47.05950121
0.17,0.96,"NE2","0-5",-109.95470164,47.05973075
0.2,1.16,"NE2","5-10",-109.95470164,47.05973075
0.22,1.25,"NE2","10-15",-109.95470164,47.05973075
0.2,1.09,"NE2","15-20",-109.95470164,47.05973075
0.2,1.25,"NE2","20-25",-109.95470164,47.05973075
0.22,1.1,"NE2","25-30",-109.95470164,47.05973075
0.05,1.19,"NE3","0-5",-109.95327871,47.06030426
0.15,1.76,"NE3","5-10",-109.95327871,47.06030426
0.14,1.73,"NE3","10-15",-109.95327871,47.06030426
0.11,1.18,"NE3","15-20",-109.95327871,47.06030426
0.15,1.57,"NE3","20-25",-109.95327871,47.06030426
0.05,1.01,"NW1","0-5",-109.95583635,47.05952325
0.14,1.02,"NW1","5-10",-109.95583635,47.05952325
0.18,1.1,"NW1","10-15",-109.95583635,47.05952325
0.14,1.1,"NW1","15-20",-109.95583635,47.05952325
0.11,1.24,"NW1","20-25",-109.95583635,47.05952325
0.18,0.87,"NW1","25-30",-109.95583635,47.05952325
0.13,1.15,"NW2","5-10",-109.95637748,47.05977311
0.21,1.08,"NW2","10-15",-109.95637748,47.05977311
0.09,1.37,"NW2","15-20",-109.95637748,47.05977311
0.14,1,"NW2","20-25",-109.95637748,47.05977311
0.09,1.12,"NW2","25-30",-109.95637748,47.05977311
0.1,1.31,"NW3","5-10",-109.95773173,47.06040366
0.21,1.33,"NW3","10-15",-109.95773173,47.06040366
0.11,1.19,"NW3","15-20",-109.95773173,47.06040366
0.21,0.95,"NW3","20-25",-109.95773173,47.06040366
0.14,1.26,"NW3","25-30",-109.95773173,47.06040366
0.19,1.06,"S1","10-15",-109.95555805,47.05916262
